StudentID; DepartmentID; CourseNumber; CourseDate(month, year); Credits; StudentGrade 
755;CS1;132;JAN/2020;3;91
138;PHY2;126;FEB/2020;6;39
814;ART3;144;MAR/2020;6;49
857;ELE4;137;APR/2020;4;100
431;ROB5;137;MAY/2020;4;41
881;CS1;149;JUN/2020;5;54
466;PHY2;119;JUL/2020;5;84
114;ART3;106;AUG/2020;4;76
586;ELE4;122;SEP/2020;5;88
234;ROB5;148;SEP/2020;6;76
936;CS1;118;SEP/2020;4;39
764;PHY2;146;NOV/2020;6;38
544;ART3;149;JAN/2020;3;99
678;ELE4;143;FEB/2020;2;85
455;ROB5;108;MAR/2020;5;55
653;CS1;120;APR/2020;5;95
107;PHY2;134;MAY/2020;5;79
382;ART3;101;JUN/2020;4;76
773;ELE4;108;JUL/2020;3;39
900;ROB5;108;AUG/2020;5;94
531;CS1;142;SEP/2020;5;70
486;PHY2;109;SEP/2020;3;72
447;ART3;135;SEP/2020;5;80
836;ELE4;131;NOV/2020;3;58
573;ROB5;149;JAN/2020;2;74
839;CS1;104;FEB/2020;4;83
506;PHY2;121;MAR/2020;6;53
486;ART3;109;APR/2020;3;94
648;ELE4;112;MAY/2020;5;97
797;ROB5;137;JUN/2020;4;93
471;CS1;114;JUL/2020;4;77
254;PHY2;121;AUG/2020;4;36
267;ART3;120;SEP/2020;5;88
161;ELE4;144;SEP/2020;4;41
459;ROB5;107;SEP/2020;5;41
974;CS1;120;NOV/2020;2;83
875;PHY2;134;JAN/2020;3;65
691;ART3;105;FEB/2020;4;42
834;ELE4;135;MAR/2020;2;44
259;ROB5;109;APR/2020;3;35
178;CS1;123;MAY/2020;2;64
560;PHY2;114;JUN/2020;2;71
754;ART3;108;JUL/2020;3;96
899;ELE4;134;AUG/2020;6;67
860;ROB5;138;SEP/2020;5;90
170;CS1;119;SEP/2020;6;79
550;PHY2;124;SEP/2020;6;83
284;ART3;117;NOV/2020;3;98
902;ELE4;120;JAN/2020;4;75
913;ROB5;136;FEB/2020;4;42
307;CS1;150;MAR/2020;3;39
853;PHY2;121;APR/2020;3;98
984;ART3;110;MAY/2020;3;42
909;ELE4;140;JUN/2020;6;43
481;ROB5;137;JUL/2020;6;99
679;CS1;100;AUG/2020;6;47
678;PHY2;134;SEP/2020;2;83
770;ART3;116;SEP/2020;3;84
520;ELE4;114;SEP/2020;6;88
584;ROB5;133;NOV/2020;5;45
951;CS1;144;JAN/2020;2;69
946;PHY2;144;FEB/2020;6;72
412;ART3;102;MAR/2020;6;52
375;ELE4;139;APR/2020;3;77
833;ROB5;134;MAY/2020;6;43
105;CS1;139;JUN/2020;5;57
234;PHY2;117;JUL/2020;4;93
824;ART3;130;AUG/2020;4;47
408;ELE4;111;SEP/2020;6;79
383;ROB5;132;SEP/2020;4;49
847;CS1;134;SEP/2020;2;90
168;PHY2;144;NOV/2020;3;70
665;ART3;141;JAN/2020;6;92
179;ELE4;105;FEB/2020;5;95
777;ROB5;149;MAR/2020;4;43
840;CS1;114;APR/2020;6;48
679;PHY2;145;MAY/2020;2;40
116;ART3;110;JUN/2020;6;55
537;ELE4;149;JUL/2020;3;40
835;ROB5;124;AUG/2020;6;91
646;CS1;134;SEP/2020;4;88
141;PHY2;147;SEP/2020;4;44
453;ART3;126;SEP/2020;5;55
705;ELE4;135;NOV/2020;5;87
443;ROB5;132;JAN/2020;3;89
798;CS1;126;FEB/2020;4;44
519;PHY2;104;MAR/2020;6;97
575;ART3;115;APR/2020;3;60
452;ELE4;133;MAY/2020;3;98
142;ROB5;141;JUN/2020;2;41
953;CS1;109;JUL/2020;4;56
206;PHY2;140;AUG/2020;2;68
609;ART3;117;SEP/2020;4;68
217;ELE4;120;SEP/2020;3;70
293;ROB5;149;SEP/2020;5;92
766;CS1;126;NOV/2020;4;93
812;PHY2;130;JAN/2020;3;41
182;ART3;146;FEB/2020;2;51
486;ELE4;134;MAR/2020;6;72
660;ROB5;106;APR/2020;5;75
449;CS1;127;MAY/2020;4;66
802;PHY2;145;JUN/2020;4;60
519;ART3;122;JUL/2020;6;76
